tool_id,category,category_id,category_name,description
8871,,0,nan,nan
4776,,0,nan,nan
5222,,0,nan,nan
8872,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
6850,,0,nan,nan
8765,5.0,5,Software Solutions,"Generates code, software patches, testing results, or programming-related documents."
6990,1.0,1,Processed Data,Outputs datasets.
5169,,0,nan,nan
7744,,0,nan,nan
4196,,0,nan,nan
4144,,0,nan,nan
7733,,0,nan,nan
5585,,0,nan,nan
1045,,0,nan,nan
271,,0,nan,nan
4594,2.0,2,Streamlined Processes,Offers automated sequences or optimized workflows as a result of process management tools.
1497,,0,nan,nan
8873,,0,nan,nan
862,,0,nan,nan
5749,,0,nan,nan
7767,,0,nan,nan
6954,,0,nan,nan
3680,,0,nan,nan
8183,,0,nan,nan
7897,8.0,8,Video Content,"Generates edited video sequences, visual effects, or complete video productions."
8349,,0,nan,nan
1043,,0,nan,nan
7291,,0,nan,nan
918,,0,nan,nan
8591,,0,nan,nan
8529,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
2097,,0,nan,nan
1065,,0,nan,nan
3444,,0,nan,nan
1438,2.0,2,Streamlined Processes,Offers automated sequences or optimized workflows as a result of process management tools.
3920,,0,nan,nan
5317,,0,nan,nan
1339,,0,nan,nan
2800,,0,nan,nan
5938,,0,nan,nan
2390,,0,nan,nan
325,,0,nan,nan
6330,,0,nan,nan
4630,,0,nan,nan
308,,0,nan,nan
2099,,0,nan,nan
7831,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
6196,,0,nan,nan
6482,,0,nan,nan
1690,,0,nan,nan
5790,,0,nan,nan
6029,,0,nan,nan
5082,,0,nan,nan
878,,0,nan,nan
3653,,0,nan,nan
7424,,0,nan,nan
446,,0,nan,nan
3116,,0,nan,nan
441,,0,nan,nan
1614,,0,nan,nan
734,,0,nan,nan
4596,,0,nan,nan
1439,,0,nan,nan
8325,1.0,1,Processed Data,Outputs datasets.
2943,,0,nan,nan
8874,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
2365,,0,nan,nan
330,,0,nan,nan
3466,,0,nan,nan
3734,,0,nan,nan
1867,,0,nan,nan
3172,,0,nan,nan
3685,,0,nan,nan
2645,,0,nan,nan
5751,,0,nan,nan
2650,,0,nan,nan
3232,,0,nan,nan
1345,,0,nan,nan
74,,0,nan,nan
2980,,0,nan,nan
5287,,0,nan,nan
6499,,0,nan,nan
3363,,0,nan,nan
4774,,0,nan,nan
6755,,0,nan,nan
731,,0,nan,nan
439,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
953,,0,nan,nan
3027,,0,nan,nan
7382,,0,nan,nan
3950,,0,nan,nan
3002,,0,nan,nan
1254,,0,nan,nan
2519,,0,nan,nan
6409,,0,nan,nan
7648,,0,nan,nan
7084,,0,nan,nan
7357,,0,nan,nan
1337,,0,nan,nan
1118,,0,nan,nan
5964,,0,nan,nan
4000,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
7325,,0,nan,nan
4966,,0,nan,nan
1749,,0,nan,nan
6356,,0,nan,nan
5610,,0,nan,nan
5250,,0,nan,nan
2693,,0,nan,nan
3925,,0,nan,nan
3606,,0,nan,nan
3113,,0,nan,nan
4986,,0,nan,nan
220,,0,nan,nan
5531,,0,nan,nan
5412,,0,nan,nan
8875,,0,nan,nan
1425,,0,nan,nan
3580,,0,nan,nan
2206,,0,nan,nan
518,,0,nan,nan
6026,,0,nan,nan
921,,0,nan,nan
5510,,0,nan,nan
5434,,0,nan,nan
214,,0,nan,nan
1745,,0,nan,nan
3511,,0,nan,nan
3474,,0,nan,nan
1532,,0,nan,nan
3844,,0,nan,nan
8876,,0,nan,nan
7321,1.0,1,Processed Data,Outputs datasets.
2791,,0,nan,nan
1669,,0,nan,nan
8614,8.0,8,Video Content,"Generates edited video sequences, visual effects, or complete video productions."
6882,,0,nan,nan
1670,,0,nan,nan
4889,,0,nan,nan
2677,,0,nan,nan
4223,,0,nan,nan
1030,,0,nan,nan
7410,,0,nan,nan
8877,,0,nan,nan
1947,,0,nan,nan
3203,,0,nan,nan
5214,,0,nan,nan
6647,,0,nan,nan
4711,,0,nan,nan
5245,,0,nan,nan
8878,,0,nan,nan
5849,,0,nan,nan
5376,,0,nan,nan
3358,,0,nan,nan
1202,,0,nan,nan
4542,,0,nan,nan
2772,,0,nan,nan
4355,,0,nan,nan
2231,,0,nan,nan
5574,,0,nan,nan
3897,,0,nan,nan
8879,,0,nan,nan
1092,,0,nan,nan
5270,,0,nan,nan
7446,,0,nan,nan
4890,,0,nan,nan
4035,,0,nan,nan
3310,,0,nan,nan
7089,,0,nan,nan
7594,,0,nan,nan
4712,,0,nan,nan
5802,,0,nan,nan
4416,,0,nan,nan
1807,,0,nan,nan
1518,,0,nan,nan
3031,,0,nan,nan
1623,,0,nan,nan
2399,,0,nan,nan
664,,0,nan,nan
1727,,0,nan,nan
3216,,0,nan,nan
415,,0,nan,nan
1514,,0,nan,nan
5124,,0,nan,nan
508,,0,nan,nan
8582,,0,nan,nan
2716,,0,nan,nan
3196,8.0,8,Video Content,"Generates edited video sequences, visual effects, or complete video productions."
8880,,0,nan,nan
5868,,0,nan,nan
8881,,0,nan,nan
5052,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
1147,,0,nan,nan
5143,,0,nan,nan
584,,0,nan,nan
8000,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
1838,,0,nan,nan
6621,,0,nan,nan
6033,,0,nan,nan
8882,,0,nan,nan
7201,,0,nan,nan
2996,,0,nan,nan
1771,,0,nan,nan
4606,,0,nan,nan
3265,,0,nan,nan
530,,0,nan,nan
4283,,0,nan,nan
2176,,0,nan,nan
5263,,0,nan,nan
1421,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
4808,,0,nan,nan
8883,,0,nan,nan
7440,,0,nan,nan
2906,,0,nan,nan
6487,,0,nan,nan
1362,,0,nan,nan
39,,0,nan,nan
7212,,0,nan,nan
6994,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
1808,2.0,2,Streamlined Processes,Offers automated sequences or optimized workflows as a result of process management tools.
8884,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
1255,,0,nan,nan
2792,,0,nan,nan
6826,,0,nan,nan
1340,,0,nan,nan
360,,0,nan,nan
4617,,0,nan,nan
5747,,0,nan,nan
8885,,0,nan,nan
7234,,0,nan,nan
2003,,0,nan,nan
773,,0,nan,nan
2400,2.0,2,Streamlined Processes,Offers automated sequences or optimized workflows as a result of process management tools.
3636,,0,nan,nan
4254,,0,nan,nan
3648,,0,nan,nan
516,,0,nan,nan
8293,,0,nan,nan
2486,,0,nan,nan
4965,,0,nan,nan
5098,,0,nan,nan
6025,,0,nan,nan
1365,,0,nan,nan
2371,,0,nan,nan
944,,0,nan,nan
8886,,0,nan,nan
27,,0,nan,nan
8853,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
5055,,0,nan,nan
8342,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
7075,,0,nan,nan
6491,,0,nan,nan
5356,,0,nan,nan
6750,,0,nan,nan
8887,,0,nan,nan
5527,4.0,4,Multimodal,Creates content that integrates multiple outputs.
4085,,0,nan,nan
6093,,0,nan,nan
5907,2.0,2,Streamlined Processes,Offers automated sequences or optimized workflows as a result of process management tools.
3426,,0,nan,nan
902,,0,nan,nan
8110,1.0,1,Processed Data,Outputs datasets.
8296,2.0,2,Streamlined Processes,Offers automated sequences or optimized workflows as a result of process management tools.
8888,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
5871,,0,nan,nan
8889,,0,nan,nan
8890,,0,nan,nan
2617,,0,nan,nan
6894,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
8891,,0,nan,nan
7136,,0,nan,nan
6668,,0,nan,nan
8892,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
4656,,0,nan,nan
6068,,0,nan,nan
8893,,0,nan,nan
511,,0,nan,nan
2228,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
8894,,0,nan,nan
8803,1.0,1,Processed Data,Outputs datasets.
5575,,0,nan,nan
6682,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
4797,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
2257,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
2623,,0,nan,nan
6586,0.0,0,3D Digital Replicas,Outputs 3D digital models or simulations of real-world objects.
2327,,0,nan,nan
222,,0,nan,nan
3824,,0,nan,nan
2824,,0,nan,nan
5145,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
4707,,0,nan,nan
6961,,0,nan,nan
1026,,0,nan,nan
504,,0,nan,nan
7750,0.0,0,3D Digital Replicas,Outputs 3D digital models or simulations of real-world objects.
407,,0,nan,nan
8895,,0,nan,nan
677,,0,nan,nan
8896,,0,nan,nan
6649,6.0,6,Analytical Insights,Delivers insights or predictions based on data analysis.
8897,,0,nan,nan
1734,,0,nan,nan
5312,,0,nan,nan
8848,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
8898,,0,nan,nan
555,1.0,1,Processed Data,Outputs datasets.
4296,,0,nan,nan
2192,,0,nan,nan
939,,0,nan,nan
7001,,0,nan,nan
2818,,0,nan,nan
8360,6.0,6,Analytical Insights,Delivers insights or predictions based on data analysis.
6115,1.0,1,Processed Data,Outputs datasets.
1235,1.0,1,Processed Data,Outputs datasets.
5800,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
752,,0,nan,nan
6805,,0,nan,nan
6844,,0,nan,nan
2489,,0,nan,nan
3935,,0,nan,nan
3924,,0,nan,nan
8899,,0,nan,nan
3205,,0,nan,nan
5441,,0,nan,nan
3425,,0,nan,nan
4737,1.0,1,Processed Data,Outputs datasets.
5806,,0,nan,nan
1777,,0,nan,nan
6367,,0,nan,nan
8094,,0,nan,nan
8900,,0,nan,nan
704,,0,nan,nan
4872,,0,nan,nan
4895,,0,nan,nan
8500,1.0,1,Processed Data,Outputs datasets.
3519,,0,nan,nan
4800,,0,nan,nan
1660,1.0,1,Processed Data,Outputs datasets.
274,,0,nan,nan
8901,,0,nan,nan
3938,,0,nan,nan
6290,,0,nan,nan
4861,,0,nan,nan
8902,,0,nan,nan
4123,,0,nan,nan
2609,,0,nan,nan
2844,,0,nan,nan
4303,,0,nan,nan
1528,,0,nan,nan
4362,,0,nan,nan
2119,,0,nan,nan
4468,,0,nan,nan
6377,,0,nan,nan
3058,,0,nan,nan
8359,,0,nan,nan
879,,0,nan,nan
679,,0,nan,nan
1325,,0,nan,nan
6972,,0,nan,nan
295,,0,nan,nan
4449,,0,nan,nan
8687,,0,nan,nan
8903,,0,nan,nan
6906,,0,nan,nan
1592,,0,nan,nan
202,,0,nan,nan
8904,,0,nan,nan
8905,,0,nan,nan
1688,,0,nan,nan
10,,0,nan,nan
2537,,0,nan,nan
1896,,0,nan,nan
3677,,0,nan,nan
8372,,0,nan,nan
8906,,0,nan,nan
4213,,0,nan,nan
6386,,0,nan,nan
3490,,0,nan,nan
8907,,0,nan,nan
6735,,0,nan,nan
5135,,0,nan,nan
6980,,0,nan,nan
8043,,0,nan,nan
3641,,0,nan,nan
8908,,0,nan,nan
5314,,0,nan,nan
4136,,0,nan,nan
8909,,0,nan,nan
7285,,0,nan,nan
5707,,0,nan,nan
969,,0,nan,nan
5789,,0,nan,nan
5635,1.0,1,Processed Data,Outputs datasets.
5323,,0,nan,nan
8910,1.0,1,Processed Data,Outputs datasets.
6184,,0,nan,nan
4736,,0,nan,nan
8317,,0,nan,nan
6243,,0,nan,nan
4421,,0,nan,nan
4976,,0,nan,nan
8911,,0,nan,nan
5000,,0,nan,nan
8912,,0,nan,nan
4518,,0,nan,nan
7782,,0,nan,nan
4959,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
3305,1.0,1,Processed Data,Outputs datasets.
1920,,0,nan,nan
2344,,0,nan,nan
8913,,0,nan,nan
7539,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
3468,,0,nan,nan
1527,1.0,1,Processed Data,Outputs datasets.
261,,0,nan,nan
3013,,0,nan,nan
5426,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
8914,,0,nan,nan
1044,6.0,6,Analytical Insights,Delivers insights or predictions based on data analysis.
4488,,0,nan,nan
887,,0,nan,nan
8569,1.0,1,Processed Data,Outputs datasets.
2246,,0,nan,nan
8229,,0,nan,nan
3930,,0,nan,nan
2243,,0,nan,nan
8915,,0,nan,nan
5139,,0,nan,nan
6419,,0,nan,nan
2255,,0,nan,nan
7031,,0,nan,nan
747,,0,nan,nan
2397,,0,nan,nan
3460,,0,nan,nan
6109,,0,nan,nan
6704,,0,nan,nan
5698,,0,nan,nan
2006,,0,nan,nan
5379,,0,nan,nan
7839,,0,nan,nan
2926,,0,nan,nan
6411,,0,nan,nan
7896,,0,nan,nan
7419,,0,nan,nan
7376,,0,nan,nan
8034,,0,nan,nan
8199,,0,nan,nan
8069,,0,nan,nan
47,,0,nan,nan
350,,0,nan,nan
8916,,0,nan,nan
18,,0,nan,nan
7715,,0,nan,nan
6641,,0,nan,nan
4402,,0,nan,nan
2703,,0,nan,nan
3595,,0,nan,nan
2323,,0,nan,nan
5994,,0,nan,nan
824,,0,nan,nan
822,,0,nan,nan
3586,,0,nan,nan
3644,1.0,1,Processed Data,Outputs datasets.
7787,,0,nan,nan
3506,,0,nan,nan
355,,0,nan,nan
5084,,0,nan,nan
640,,0,nan,nan
680,,0,nan,nan
2280,,0,nan,nan
2394,,0,nan,nan
3738,,0,nan,nan
3272,,0,nan,nan
4856,,0,nan,nan
2385,,0,nan,nan
1869,,0,nan,nan
4352,,0,nan,nan
5108,,0,nan,nan
5390,,0,nan,nan
6661,,0,nan,nan
1502,,0,nan,nan
7294,,0,nan,nan
1486,1.0,1,Processed Data,Outputs datasets.
5536,,0,nan,nan
2802,,0,nan,nan
5009,,0,nan,nan
7055,,0,nan,nan
5730,,0,nan,nan
2586,,0,nan,nan
7005,,0,nan,nan
4683,,0,nan,nan
774,,0,nan,nan
8917,,0,nan,nan
6723,,0,nan,nan
5679,,0,nan,nan
3148,,0,nan,nan
6358,,0,nan,nan
8918,,0,nan,nan
6100,,0,nan,nan
7906,1.0,1,Processed Data,Outputs datasets.
462,,0,nan,nan
5514,,0,nan,nan
6597,,0,nan,nan
1656,,0,nan,nan
1461,,0,nan,nan
4442,,0,nan,nan
1846,,0,nan,nan
672,,0,nan,nan
5562,,0,nan,nan
6648,,0,nan,nan
8856,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
8919,,0,nan,nan
8920,,0,nan,nan
7395,,0,nan,nan
1040,,0,nan,nan
3273,,0,nan,nan
4987,1.0,1,Processed Data,Outputs datasets.
2248,,0,nan,nan
5855,,0,nan,nan
1322,,0,nan,nan
8921,,0,nan,nan
2532,,0,nan,nan
3622,,0,nan,nan
1304,,0,nan,nan
5905,,0,nan,nan
5956,,0,nan,nan
8095,,0,nan,nan
8922,1.0,1,Processed Data,Outputs datasets.
8752,6.0,6,Analytical Insights,Delivers insights or predictions based on data analysis.
8923,,0,nan,nan
7109,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
916,,0,nan,nan
2449,,0,nan,nan
3009,,0,nan,nan
3313,,0,nan,nan
3059,,0,nan,nan
4721,,0,nan,nan
4198,,0,nan,nan
5176,,0,nan,nan
3546,,0,nan,nan
3169,,0,nan,nan
3336,,0,nan,nan
1544,,0,nan,nan
2784,,0,nan,nan
3240,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
2544,,0,nan,nan
4638,,0,nan,nan
7464,,0,nan,nan
8474,,0,nan,nan
484,,0,nan,nan
1317,,0,nan,nan
817,,0,nan,nan
8668,,0,nan,nan
4573,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
7755,2.0,2,Streamlined Processes,Offers automated sequences or optimized workflows as a result of process management tools.
8924,,0,nan,nan
7716,8.0,8,Video Content,"Generates edited video sequences, visual effects, or complete video productions."
1627,,0,nan,nan
4850,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
7120,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
1447,,0,nan,nan
3732,,0,nan,nan
5767,,0,nan,nan
3070,,0,nan,nan
5758,,0,nan,nan
8495,,0,nan,nan
2978,,0,nan,nan
2721,,0,nan,nan
6467,5.0,5,Software Solutions,"Generates code, software patches, testing results, or programming-related documents."
2679,,0,nan,nan
1546,,0,nan,nan
1263,,0,nan,nan
8925,,0,nan,nan
5552,1.0,1,Processed Data,Outputs datasets.
3681,,0,nan,nan
749,,0,nan,nan
2057,,0,nan,nan
3016,,0,nan,nan
8178,1.0,1,Processed Data,Outputs datasets.
2889,,0,nan,nan
4409,,0,nan,nan
8308,,0,nan,nan
8926,,0,nan,nan
2289,,0,nan,nan
3805,,0,nan,nan
6111,,0,nan,nan
5693,,0,nan,nan
4003,,0,nan,nan
6623,,0,nan,nan
7090,,0,nan,nan
3911,,0,nan,nan
7977,,0,nan,nan
8560,,0,nan,nan
8718,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
655,,0,nan,nan
5760,,0,nan,nan
2555,,0,nan,nan
4511,,0,nan,nan
5534,,0,nan,nan
4285,,0,nan,nan
2100,,0,nan,nan
6464,,0,nan,nan
6613,,0,nan,nan
3249,,0,nan,nan
5774,8.0,8,Video Content,"Generates edited video sequences, visual effects, or complete video productions."
4404,,0,nan,nan
5402,,0,nan,nan
6853,,0,nan,nan
7107,,0,nan,nan
6918,,0,nan,nan
8927,,0,nan,nan
3200,,0,nan,nan
8928,,0,nan,nan
6931,0.0,0,3D Digital Replicas,Outputs 3D digital models or simulations of real-world objects.
8574,,0,nan,nan
1873,,0,nan,nan
8929,,0,nan,nan
8824,,0,nan,nan
2009,,0,nan,nan
652,2.0,2,Streamlined Processes,Offers automated sequences or optimized workflows as a result of process management tools.
4367,,0,nan,nan
2552,8.0,8,Video Content,"Generates edited video sequences, visual effects, or complete video productions."
1127,1.0,1,Processed Data,Outputs datasets.
8729,1.0,1,Processed Data,Outputs datasets.
3279,,0,nan,nan
8930,,0,nan,nan
3288,1.0,1,Processed Data,Outputs datasets.
8185,6.0,6,Analytical Insights,Delivers insights or predictions based on data analysis.
8725,1.0,1,Processed Data,Outputs datasets.
8024,,0,nan,nan
5823,6.0,6,Analytical Insights,Delivers insights or predictions based on data analysis.
473,,0,nan,nan
2646,2.0,2,Streamlined Processes,Offers automated sequences or optimized workflows as a result of process management tools.
5708,,0,nan,nan
3781,,0,nan,nan
8275,,0,nan,nan
8617,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
5074,,0,nan,nan
1726,,0,nan,nan
7873,8.0,8,Video Content,"Generates edited video sequences, visual effects, or complete video productions."
1152,,0,nan,nan
3866,,0,nan,nan
4661,,0,nan,nan
2416,,0,nan,nan
7661,2.0,2,Streamlined Processes,Offers automated sequences or optimized workflows as a result of process management tools.
5311,,0,nan,nan
8517,1.0,1,Processed Data,Outputs datasets.
2789,,0,nan,nan
5454,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
8931,,0,nan,nan
8932,6.0,6,Analytical Insights,Delivers insights or predictions based on data analysis.
1132,,0,nan,nan
1700,,0,nan,nan
8933,,0,nan,nan
386,10.0,10,Operational Outputs,"Provides network configurations, management plans, or support-related documentation."
5661,,0,nan,nan
8934,,0,nan,nan
4308,,0,nan,nan
2354,,0,nan,nan
7949,,0,nan,nan
385,,0,nan,nan
1363,6.0,6,Analytical Insights,Delivers insights or predictions based on data analysis.
7746,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
4013,,0,nan,nan
7573,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
7337,,0,nan,nan
7390,,0,nan,nan
1072,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
8935,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
1494,,0,nan,nan
4603,,0,nan,nan
6517,,0,nan,nan
2373,,0,nan,nan
1393,,0,nan,nan
4043,,0,nan,nan
4691,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
6089,1.0,1,Processed Data,Outputs datasets.
1426,,0,nan,nan
4728,1.0,1,Processed Data,Outputs datasets.
8936,,0,nan,nan
6553,1.0,1,Processed Data,Outputs datasets.
8387,,0,nan,nan
5584,,0,nan,nan
1219,,0,nan,nan
8641,,0,nan,nan
2521,,0,nan,nan
7617,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
1394,,0,nan,nan
2126,,0,nan,nan
2790,,0,nan,nan
4743,,0,nan,nan
2423,,0,nan,nan
7980,,0,nan,nan
2876,,0,nan,nan
8638,1.0,1,Processed Data,Outputs datasets.
3997,10.0,10,Operational Outputs,"Provides network configurations, management plans, or support-related documentation."
1081,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
814,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
6538,,0,nan,nan
5929,,0,nan,nan
4842,,0,nan,nan
4578,,0,nan,nan
8060,,0,nan,nan
7605,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
8845,,0,nan,nan
8450,,0,nan,nan
7442,7.0,7,Audio Files,"Produces sound recordings, edited audio clips, or synthesized speech outputs."
7871,,0,nan,nan
5705,8.0,8,Video Content,"Generates edited video sequences, visual effects, or complete video productions."
6733,,0,nan,nan
8937,,0,nan,nan
7391,1.0,1,Processed Data,Outputs datasets.
8938,,0,nan,nan
4991,,0,nan,nan
1673,,0,nan,nan
8601,,0,nan,nan
4056,8.0,8,Video Content,"Generates edited video sequences, visual effects, or complete video productions."
8939,,0,nan,nan
8749,8.0,8,Video Content,"Generates edited video sequences, visual effects, or complete video productions."
7487,,0,nan,nan
2497,,0,nan,nan
860,,0,nan,nan
2601,,0,nan,nan
8940,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
7840,,0,nan,nan
6291,,0,nan,nan
809,,0,nan,nan
8941,,0,nan,nan
5103,,0,nan,nan
3878,,0,nan,nan
254,1.0,1,Processed Data,Outputs datasets.
7448,,0,nan,nan
1169,,0,nan,nan
2181,8.0,8,Video Content,"Generates edited video sequences, visual effects, or complete video productions."
8942,,0,nan,nan
1084,,0,nan,nan
4140,1.0,1,Processed Data,Outputs datasets.
4084,,0,nan,nan
8943,,0,nan,nan
8548,1.0,1,Processed Data,Outputs datasets.
1901,,0,nan,nan
8112,,0,nan,nan
1096,,0,nan,nan
2610,,0,nan,nan
8944,,0,nan,nan
8945,,0,nan,nan
8610,,0,nan,nan
5777,,0,nan,nan
797,,0,nan,nan
7298,,0,nan,nan
291,,0,nan,nan
2612,,0,nan,nan
1691,,0,nan,nan
5300,,0,nan,nan
505,,0,nan,nan
1902,,0,nan,nan
6549,,0,nan,nan
438,,0,nan,nan
8175,,0,nan,nan
2079,,0,nan,nan
7931,,0,nan,nan
7922,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
1521,,0,nan,nan
6626,,0,nan,nan
6403,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
5011,,0,nan,nan
8092,,0,nan,nan
7061,,0,nan,nan
8946,1.0,1,Processed Data,Outputs datasets.
8947,1.0,1,Processed Data,Outputs datasets.
6215,,0,nan,nan
1360,,0,nan,nan
1522,,0,nan,nan
364,,0,nan,nan
7127,,0,nan,nan
8009,,0,nan,nan
2008,,0,nan,nan
6806,1.0,1,Processed Data,Outputs datasets.
8948,,0,nan,nan
432,,0,nan,nan
994,,0,nan,nan
7058,,0,nan,nan
6253,,0,nan,nan
4781,,0,nan,nan
300,,0,nan,nan
7228,1.0,1,Processed Data,Outputs datasets.
7727,2.0,2,Streamlined Processes,Offers automated sequences or optimized workflows as a result of process management tools.
2560,,0,nan,nan
5369,,0,nan,nan
6525,8.0,8,Video Content,"Generates edited video sequences, visual effects, or complete video productions."
8786,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
8949,,0,nan,nan
8827,,0,nan,nan
3630,,0,nan,nan
4803,,0,nan,nan
8033,,0,nan,nan
6388,,0,nan,nan
194,,0,nan,nan
8367,6.0,6,Analytical Insights,Delivers insights or predictions based on data analysis.
1392,,0,nan,nan
1472,,0,nan,nan
6220,9.0,9,Enhanced Images,"Enhances, alters, or creates digital images and graphics."
7849,,0,nan,nan
8950,,0,nan,nan
8680,,0,nan,nan
4322,,0,nan,nan
1650,,0,nan,nan
669,,0,nan,nan
8604,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
1689,,0,nan,nan
8427,,0,nan,nan
8951,,0,nan,nan
8490,,0,nan,nan
3411,,0,nan,nan
4689,,0,nan,nan
3126,,0,nan,nan
1168,,0,nan,nan
2744,,0,nan,nan
8759,3.0,3,Generated Text,"Produces written content, including edited, analyzed, or synthesized text documents."
4572,1.0,1,Processed Data,Outputs datasets.
2950,,0,nan,nan
3219,,0,nan,nan
4067,,0,nan,nan
2894,1.0,1,Processed Data,Outputs datasets.
5512,,0,nan,nan
3954,,0,nan,nan
5109,,0,nan,nan
6579,2.0,2,Streamlined Processes,Offers automated sequences or optimized workflows as a result of process management tools.
