name,task,url,price,saves,likes,stars,period
Personal Chef.AI,Recipes,https://apps.apple.com/us/app/personal-chef-ai/id6473223355?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $0.99,11,N/A,N/A,february
Docufai,Document Q&A,https://www.docufai.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,9,N/A,N/A,february
SearchPlus,Document Q&A,https://www.searchplus.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $12/mo,2,N/A,N/A,february
StockMarketGPT,Investment research,https://www.stockmarketgpt.co/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,10,N/A,3.0,february
Database Tracker and Memory Manager,Data management,https://chat.openai.com/g/g-g2J4SOmxM-database-tracker-and-memory-manager?ref=taaft&utm_source=taaft&utm_medium=referral,Free,10,N/A,N/A,february
Techmart AI,Startup advice,https://chat.jointechmart.com/?ref=taaft&utm_source=taaft&utm_medium=referral,Free,24,N/A,5.0,february
Summa,Exam preparation,https://summacourse.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,13,N/A,N/A,february
Reggie,Language learning,https://reggelia.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,8,N/A,5.0,february
D&D Character Portraits,D&D style avatars,https://www.dndcharacterportraits.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,7,N/A,N/A,february
AI Photo Generator,Image generation,https://apps.apple.com/us/app/ai-photo-generator-photo-ai/id6470383042?ref=taaft&utm_source=taaft&utm_medium=referral,From $14.99,4,N/A,N/A,february
Wishgram,Greeting cards,https://www.wishgram.xyz/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,4,N/A,N/A,february
Data Query Helper,SQL queries,https://chat.openai.com/g/g-W5JUIsHet-data-query-helper?ref=taaft&utm_source=taaft&utm_medium=referral,Free,3,N/A,N/A,february
Typeahead,Screen reading,https://www.typeahead.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $8/mo,2,N/A,N/A,february
Clash of GPTs,AI model comparison,https://www.clashofgpts.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,3,N/A,N/A,february
Copyrocket AI Assistant,Content generation,https://copyrocket.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,From $9.99/mo,10,1,5.0,february
Loud Fame,Anime videos,https://www.loudfame.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,7,N/A,N/A,february
Vana,Virtual avatars,https://www.vana.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,5,42,4.7,february
Davinci Pencil,Drawing,https://apps.apple.com/us/app/davinci-pencil/id6475635484?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $0.99,4,N/A,N/A,february
Fluency,Language learning,https://www.thefluency.app/?ref=taaft&utm_source=taaft&utm_medium=referral,From $3.99/mo,7,1,1.0,february
SmartIntervu,Job recruitment,https://www.smartintervu.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,2,N/A,N/A,february
Interview Coach,Interview preparation,https://chat.openai.com/g/g-x9w4ysF49-interview-coach?ref=taaft&utm_source=taaft&utm_medium=referral,Free,7,N/A,N/A,february
AI Book Title Generator,Book titles,https://booktitlegenerator.app/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,9,2,5.0,february
Shop That Look,Outfits,https://shopthatlook.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,6,1,1.0,february
ShortlistIQ,Candidate screening,https://www.shortlistiq.com/?ref=taaft&utm_source=taaft&utm_medium=referral,From $49/mo,8,N/A,5.0,february
Roast My Website,Website analysis,https://chat.openai.com/g/g-DCYz18lI4-roast-my-website?ref=taaft&utm_source=taaft&utm_medium=referral,Free,8,N/A,5.0,february
AI LMS by Coursebox,Online courses,https://www.coursebox.ai/ai-lms?ref=taaft&utm_source=taaft&utm_medium=referral,$99.50/mo,5,N/A,5.0,february
Chat With RTX,Chatting,https://www.nvidia.com/en-us/ai-on-rtx/chat-with-rtx-generative-ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,11,N/A,N/A,february
StableCascade,Image generation,https://github.com/Stability-AI/StableCascade?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,3,N/A,N/A,february
Infography,Infographics,https://mmntm.me/infography?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,11,N/A,N/A,february
Sierra,Customer service,https://sierra.ai/product?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,6,N/A,N/A,february
CalenAI,Appointment scheduling,https://www.calenai.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,4,N/A,N/A,february
KOZ Digital AI,Business consulting,https://www.koz-ai.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,7,N/A,N/A,february
Rubra,Personal assistant,https://rubra.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,1,N/A,N/A,february
GetSite,Website building,https://www.getsite.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $49,1,N/A,N/A,february
NeedBook,Book recommendations,https://www.needbook.lol/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,2,N/A,N/A,february
Yona,Companionship,https://yona.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,N/A,N/A,N/A,february
LinkedIn Post Wizard,Linkedin posts,https://chat.openai.com/g/g-9nvIq9Zvx-linkedin-post-wizard?ref=taaft&utm_source=taaft&utm_medium=referral,Free,4,N/A,N/A,february
Chatmate,Customer engagement,https://chatmate.fly.dev/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,1,N/A,N/A,february
AutoCut,Video editing,https://www.autocut.fr/en/?utm_source=thereisanaiforthat&utm_campaign=directories,From $6.6/mo,3,N/A,N/A,february
Favikon,Influencer marketing,https://www.favikon.com/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from €49,N/A,N/A,N/A,february
